date,title,subtitle,standfirst,url,rank
2000-01-01,News in brief,<B> World's oldest person dies </B><BR>,NA,https://www.theguardian.com/world/2000/jan/01/2,2
2000-01-02,India's hard line on terrorism in chaos over hijack surrender,"As the gunmen slipped away with the Taliban in Afghanistan, Suzanne Goldenberg looks at how they managed to go free.","As the gunmen slipped away with the Taliban in Afghanistan, Suzanne Goldenberg looks at how they managed to go free.<br><a href=""http://www.newsunlimited.co.uk/more_about/0,5167,117937,00.html"">More about the Indian Airlines hijacking</A>",https://www.theguardian.com/world/2000/jan/02/terrorism,6
2000-01-03,Kohl's successor drawn into scandal,The scandal unleashed by Germany's former chancellor Helmut Kohl yesterday began heading towards the man who took over from him as head of the Christian Democrats.,NA,https://www.theguardian.com/world/2000/jan/03/germany.johnhooper,5
2000-01-04,High turnout in Croatia's first post-Tudjman poll,"Croatia's electorate turned out in large numbers yesterday to vote in the country's general election, amid indications that a centre-left alliance of opposition parties was well placed to end the long rule of the national conservative Croatian Democratic Union",NA,https://www.theguardian.com/world/2000/jan/04/1,8
2000-01-05,Santana tops Grammy list nominations,"The much-trumpeted explosion in the popularity of Latin-based music was acknowledged by the music industry's Grammy award nominations yesterday, though the focus of attention was a 52-year-old rock warhorse rather than a snake-hipped youth.",NA,https://www.theguardian.com/world/2000/jan/05/michaelellison,1
2000-01-06,Clinton gets Middle East talks under way Israel and Syria reach milestone in talks,"Syrian and Israeli delegations finally embarked yesterday on detailed negotiations aimed at reaching a lasting peace settlement, after two days of posturing and brinkmanship, and anxious mediation by the US president, Bill Clinton.","Negotiations begin after two days of wrangling  <br><a href=""http://www.newsunlimited.co.uk/israel/0,2759,64408,00.html"" >Israel and the Middle East: special report </a>",https://www.theguardian.com/world/2000/jan/06/israel,20
2000-01-07,In brief,<B> Four arrested over hijacking</B><BR>,NA,https://www.theguardian.com/world/2000/jan/07/3,5
2000-01-08,Muslims call for holy war to end island killings,"More than 100,000 Muslims demonstrated outside Indonesia's presidential palace in Jakarta yesterday, threatening to declare a holy war in the Molucca islands if sectarian violence continued.","<A HREF=""http://www.newsunlimited.co.uk/indonesia"" TARGET=""_NEW"">www.newsunlimited.co.uk/indonesia</A>",https://www.theguardian.com/world/2000/jan/08/indonesia.johnaglionby,8
2000-01-09,US quits Haiti's hell fires,"The body lay face down in the dust of the pot-holed road, opposite a busy market place piled with mangoes and bananas. He lay stinking in the putrid morning sun, trousers pulled down around his buttocks.","As Clinton's 'liberators' go, fetters of fear still bind  a nation",https://www.theguardian.com/world/2000/jan/09/edvulliamy.theobserver,11
2000-01-10,Met lent stopped car to Lawrence,"The father of the murdered teenager Stephen Lawrence was driving a car loaned to him by the Metropolitan police when he was stopped by officers investigating a robbery, it was revealed last night.","<A HREF=""http://www.newsunlimited.co.uk/racism/0,2759,29222,00.html"">Race issues in the UK: special report </A>",https://www.theguardian.com/uk/2000/jan/10/race.world,1
2000-01-11,Side lines,NA,NA,https://www.theguardian.com/world/2000/jan/11/gender.uk1,5
2000-01-12,Russians to hold Chechen boys over 10 for 'thorough' checks,"Russia's assault on Chechnya threatened yesterday to become harsher still, after a senior general attributed severe setbacks in the campaign to the misplaced ""tender-heartedness"" of commanding officers.","<A HREF=""http://www.newsunlimited.co.uk/chechnya/0,2759,91066,00.html"">Crisis in Chechnya: special report</A>",https://www.theguardian.com/world/2000/jan/12/chechnya.ameliagentleman,9
2000-01-13,Milosevic's rivals try to bury feuds,The Serbian opposition will be celebrating Orthodox new year tonight in a greater state of harmony than at any stage since the end of the Nato bombing campaign.,"<BR><A HREF=""http://www.newsunlimited.co.uk/Kosovo/0,2759,45613,00.html""> Kosovo: special report </A>",https://www.theguardian.com/world/2000/jan/13/balkans1,26
2000-01-14,Schreiber: The man who would topple kings,"Multinational businessman Karlheinz Schreiber, whose donation disclosures are at the root of the scandal rocking German politics, is one of the most intriguing figures to have been thrust into the floodlit glare of the international stage.","A German businessman's revelations have prompted a string of investigations, and he may have only exposed the tip of the iceberg",https://www.theguardian.com/world/2000/jan/14/germany.johnhooper,33
2000-01-15,Turkish villagers mobilise against nuclear plant plan,Akkuyu bay is where Turkey wants to build its first nuclear power plant. Local people estimate that 80% of them are opposed to the plan.,NA,https://www.theguardian.com/world/2000/jan/15/4,1
2000-01-16,Detector will spot 'invisible' mines,British scientists have developed a detector that pinpoints 'invisible' landmines. It uses powerful pulses of electromagnetic energy that last less than a billionth of a second to create radar pictures of buried objects.,NA,https://www.theguardian.com/world/2000/jan/16/robinmckie.theobserver,4
2000-01-17,Pro-reform Iranian press in court over interview,"Three of Iran's largest national newspapers were summoned to the press court yesterday for publishing on Saturday remarks by the country's leading dissident, Ayatollah Hossein Ali Montazeri, from an interview he gave to the Guardian last week.","<A HREF=""http://www.newsunlimited.co.uk/more_about/0,5167,65333,00.html"">More about Iran</A>",https://www.theguardian.com/world/2000/jan/17/iran,2
2000-01-18,Sidelines,"&#149; Watch out! You may wake up one day soon to discover that you are surplus to requirements and that a much trimmer, quieter and more youthful woman has taken your place. Don't tut that it's already happened. This is different. We're talking about the curse of the cyber woman. First we had Lara Croft, the Tomb Raider heroine whose breasts grew in relation to the profits of the company who created her. Then came Webbie Tookay, the digitally composed ""woman"" signed up by a model agency. And now we have the world's first ""virtual"" newsreader, Ananova. Modelled on a combination of Posh Spice, Kylie Minogue and Carol Vorderman,   she will give reports on sport, shares, weather and travel on her website, to be launched later this year. She is 28, tall and, er... that's it really. No, wait, she does have a personality. Her makers say she likes Oasis and the Simpsons.",NA,https://www.theguardian.com/world/2000/jan/18/gender.uk1,1
2000-01-19,"Unita leader ordered UN planes to be shot down, videotape shows","The United Nations security council last night saw stunning videotape evidence from senior former military leaders of the Unita rebel movement in Angola that the movement's leader, Jonas Savimbi, personally ordered the shooting down of two UN planes in Angola last year, which killed all 22 people on board.","A videotape supplied by Canadian ambassador Robert Fowler, chairman of the  UN sanctions committee on Angola, to the UN's security council last night shows Unita rebel leader Jonas Savimbi ordering the shooting down of two UN planes in Angola last year",https://www.theguardian.com/world/2000/jan/19/unitednations,11
2000-01-20,"Women of the world, click here!",It's official: women are going online like never before. But is what's on offer really worth having?  Sally Weale goes surfing,"It's official: women are going online like never before. But is what's on offer really worth having?  Sally Weale goes surfing<BR><A HREF=""http://lifeonline.guardianunlimited.co.uk/""TARGET=""_NEW"">Get the most out of the net with Guardian Unlimited's guide to Life online</A><BR>",https://www.theguardian.com/world/2000/jan/20/gender.uk,9
2000-01-21,Labour in retreat over ethical foreign policy,The government effectively abandoned any pretence of maintaining an ethical foreign policy yesterday when it confirmed it will give the go-ahead for the sale of spare parts for Hawk fighter jets to Zimbabwe.,"<BR><A HREF=""http://www.newsunlimited.co.uk/ethical/""TARGET=""_NEW"">Labour's ethical foreign policy: special report</A>",https://www.theguardian.com/world/2000/jan/21/zimbabwe.ethicalforeignpolicy2,6
2000-01-22,Banks fail to give credit to fake smart card 'genius',"Serge Humpich believed he held a secret that could do more damage to the banking system than a dozen Nick Leesons. A self-styled electronic genius, Mr Humpich claimed to have perfected a false credit card that could talk any cash terminal into handing him an unlimited supply of money.",NA,https://www.theguardian.com/world/2000/jan/22/paulwebster,20
2000-01-23,Pakistan's fraud police link ousted leader Sharif with British trust fund,"Nawaz Sharif, the ousted Prime Minister of Pakistan, has been linked to a &#163;6.1 million trust fund in Britain.","<A HREF=""http://newsunlimited.co.uk/pakistan/"" >Pakistan coup: special report</A>",https://www.theguardian.com/world/2000/jan/23/pakistan.jasonburke,2
2000-01-24,Human rights groups lodge Pinochet challenge,Human rights groups today launched a legal challenge to home secretary Jack Straw's proposed return of General Augusto Pinochet to Chile.,NA,https://www.theguardian.com/world/2000/jan/24/pinochet.chile1,13
2000-01-25,Just good friends,"As whispers follow Hammond Innes's bequest to Celia Imrie,  Terri Apter  asks the age-old question: can the sexes get along without sex?","As whispers follow Hammond Innes's bequest to Celia Imrie,  Terri Apter  asks the age-old question: can the sexes get along without sex?",https://www.theguardian.com/world/2000/jan/25/gender.uk,1
2000-01-26,Schröder orders inquiry into missing slush row files,"Chancellor Gerhard Schr&ouml;der yesterday ordered an independent inquiry into missing government files which could shed light on allegations that the late French president, Fran&ccedil;ois Mitterrand, secretly bankrolled Germany's Christian Democrats with a &#163;10m campaign donation.","Demand comes after fruitless hunt for papers at centre of CDU scandal<BR>
<A HREF=""http://www.newsunlimited.co.uk/germany"">German corruption scandal:
special report</A>",https://www.theguardian.com/world/2000/jan/26/germany.paulwebster,8
2000-01-27,China blocks internet explosion,"Beijing has imposed tough new controls on the country's estimated 9m internet users, banning them from publishing ""state secrets"" on the web. The catch is that no one in China can be entirely sure what is or is not a secret.",Secret checkers to be used to control online activity as regime takes fright,https://www.theguardian.com/world/2000/jan/27/johngittings.patrickbarkham,12
2000-01-28,Albright wiped floor with men,Her face is instantly recognised across the globe and she is one of the few people with the power to summon Bill Clinton to the phone.,NA,https://www.theguardian.com/world/2000/jan/28/nicholaswatt,13
2000-01-29,Flu and snow add to misery in tent cities,Liza Batayeva expects the impending birth of her ninth child to take place in a corner of the draughty tent she shares with 53 other Chechens in Ingushetia's largest refugee camp.,"Chechens face pressure to return home as disease spreads in overcrowded camps in Ingushetia.  <BR><BR><A HREF=""http://www.newsunlimited.co.uk/chechnya/0,2759,91066,00.html"">Crisis in Chechnya: special report</A>",https://www.theguardian.com/world/2000/jan/29/chechnya.ameliagentleman,1
2000-01-30,Hitler's favourite film-maker in new controversy,"Leni Riefenstahl, one of the most brilliant but most controversial film directors of the twentieth century, is courting new controversy at the age of 97 with a journey that human rights groups fear may, for the second time in her life, play into the hands of a totalitarian regime.",Leni Riefenstahl at the age of 97 is travelling to Sudan to discover again 'her' Nuba people,https://www.theguardian.com/world/2000/jan/30/theobserver2,4
2000-01-31,I'd like to teach the world,"<p>One of the defining political moments of 1999 came in April, when Tony Blair travelled to Chicago to deliver a speech articulating a new doctrine of ""international community."" It was the prime minister's bid for a major part on the global stage, and it was used to justify his passionate advocacy of military intervention in Kosovo, at a cost of some £5bn.</p>",Education is a universal human right,https://www.theguardian.com/world/2000/jan/31/mainsection.leaders7,1
2000-02-01,Queer as friends,"Later this month, the much anticipated sequel to Queer As Folk will air on Channel 4. When the first series was shown last year, it provoked much controversy, both inside and outside the gay community.","A new series of Queer As Folk is about to hit the small screen and if the last run is anything to go by, the majority of its audience will be female.  Jenny Madden examines women's relationships with gay men",https://www.theguardian.com/world/2000/feb/01/gender.uk,4
2000-02-02,Vietnam's losing battle against the tobacco smugglers,"In the years since the end of the war, Vietnam had fought a seemingly losing battle against smugglers. Until 1990, the ""transit"" or smuggled market into Vietnam was estimated by BAT to be 12-18 billion cigarettes a year. Then, after a clampdown that September, ""smuggling was virtually eliminated for 18 months"", according to a report to Paul Adams, Asia-Pacific regional director.","<BR><A HREF=""http://www.newsunlimited.co.uk/Smoking.html"" >Smoking: special report </A>",https://www.theguardian.com/uk/2000/feb/02/smoking.world1,2
2000-02-03,China bans use of 'state secrets' on internet,"Beijing has imposed tough new controls on the country's estimated 9m internet users, banning them from publishing ""state secrets"" on the Web. The catch is that no one in China can be entirely sure what is or is not a secret.",NA,https://www.theguardian.com/world/2000/feb/03/china.johngittings,3
2000-02-04,Jorg Haider's rise will soon enough be followed by a fall,"Europeans should be concerned, not pessimistic, about Austria","Europeans should be concerned, not pessimistic, about Austria<BR><BR><A HREF=""http://www.newsunlimited.co.uk/austria"">The Austrian far right in power: special report</A>",https://www.theguardian.com/world/2000/feb/04/austria.comment,25
2000-02-05,Haider won votes but not hearts of electorate,It is barely credible. The land of the Sound of Music has become a pariah state. How has it happened ?,"Many see the leader only as a thorn in flesh of corrupt system<BR><A HREF=""http://www.newsunlimited.co.uk/austria"">The Austrian far right in power: special report</A>",https://www.theguardian.com/world/2000/feb/05/austria.johnhooper,14
2000-02-06,Chechens defiant after bloody flight,"A group of 40 fighters had gathered yesterday in a village to the west of the capital to mourn their commander, Zainadi, who died alongside hundreds of rebels as they withdrew en masse from Grozny on Monday night.","<A HREF=""http://www.newsunlimited.co.uk/chechnya/0,2759,91066,00.html"">Crisis in Chechnya: special report</A>",https://www.theguardian.com/world/2000/feb/06/chechnya.ameliagentleman,11
2000-02-07,The start of the affair,"""Would you believe in a love at first sight?"" Ringo intoned lugubriously and the chorus answered him: ""Yes, I'm certain that it happens all the time."" I always liked Ringo. Not best - best, I liked John. Liked is not quite the word. Our eyes met across an empty bedroom, mine four years old, his on the cover of my big sister's copy of Please Please Me, and I loved him. But that's another story.",Do you believe in love at first sight? A new survey shows most of us do.  Louisa Young thinks she knows why,https://www.theguardian.com/world/2000/feb/07/gender.uk1,1
2000-02-08,Samoa gripped by ministerial murder trial,A sensational political murder trial in this microscopic south Pacific island nation is expected to take a dramatic turn today when a person known only as witness E takes the stand.,NA,https://www.theguardian.com/world/2000/feb/08/davidcohen,3
2000-02-09,Greens take on Haider,Austria's new conservative-far right coalition government yesterday faced down calls for fresh elections and easily got through a no-confidence vote as the country agonised over how it might manoeuvre itself out of political turmoil.,"<BR><A HREF=""http://www.newsunlimited.co.uk/austria"">The Austrian far right in power: special report</A>",https://www.theguardian.com/world/2000/feb/09/austria.kateconnolly,2
2000-02-10,Safety catch,"In many circumstances, a ""first"" is a cause for celebration: it marks a step forward. So the news that for the first time the number of people in the UK who contracted HIV through heterosexual sex was higher than via homosexual sex gives us reason to celebrate another year when the rate of infection among gay men has fallen and then ask what on earth went wrong. When we learn that it is young women who are showing the sharpest increase in heterosexually acquired HIV infection, the future looks bleak.",No one seems to talk about Aids anymore. Yet there has just been a huge jump in HIV infection among young heterosexual women.  Raekha Prasad  asks why we stopped worrying about a killer disease,https://www.theguardian.com/world/2000/feb/10/gender.uk,1
2000-02-11,Israeli government report admits systematic torture of Palestinians,"The Israeli internal security service, Shin Bet, used systematic torture against Palestinians and regularly lied about it, according to an Israeli government report which has been released five years after it was written.","<A HREF=""http://www.newsunlimited.co.uk/israel/0,2759,64408,00.html"">Israel and the Middle East: special report </A>",https://www.theguardian.com/world/2000/feb/11/israel,10
2000-02-12,US crash prompts air safety checks,"British Airways is inspecting 10 planes owned by a subsidiary, after US authorities ordered an immediate investigation of 1,100 McDonnell Douglas aircraft in service in the US following the Alaska Airlines crash in which 88 people died.",NA,https://www.theguardian.com/world/2000/feb/12/keithharper,7
2000-02-13,Culture clash fuels race riots,"The smell of blood hangs around the makeshift plastic tents housing 300 frightened Moroccans. Tonight, at least, the only victim is a goat slaughtered for supper by men who might easily be descendants of the Moors who ruled southern Spain for 700 years.","After three days of mob rule in southern Spain, Moroccans used as cheap labour are more sinned against than sinning",https://www.theguardian.com/world/2000/feb/13/theobserver,4
2000-02-14,Uneasy truce as Spain reels from racial unrest,"After the worst outbreak of racial violence to affect modern Spain, Moroccan immigrants in the south-eastern town of El Ejido yesterday called off a protest strike and announced a 12-day truce while they consider an emergency package promised by the government.",NA,https://www.theguardian.com/world/2000/feb/14/2,5
2000-02-15,My brilliant idea,From ladder-free legs to toilet seats that know their place:  Anita Chaudhuri  meets the women inventors flushed with success,From ladder-free legs to toilet seats that know their place:  Anita Chaudhuri  meets the women inventors flushed with success,https://www.theguardian.com/world/2000/feb/15/gender.uk1,3
2000-02-16,'His memory of remote events is impaired',"Senator Pinochet has a complex medical history, but the main active medical problems at present are diabetic peripheral neuropathy and recently progressive cerebrovascular brain damage. The diabetic neuropathology is contributing to difficulties in walking and to the observed tendency to postural hypertension. The diabetes will also have predisposed to arterial disease as will a past history of smoking",The leaked medical report,https://www.theguardian.com/world/2000/feb/16/pinochet.chile2,12
2000-02-17,Danube water banned after cyanide spill,Romania has banned water intake and fishing on its stretch of the Danube and has warned its neighbours that a cyanide spill that killed thousands of fish in Hungary and Yugoslavia is moving slowly down-river.,"<A HREF=""http://www.newsunlimited.co.uk/more_about/0,5167,136954,00.html"">More about the Danube cyanide disaster</A>",https://www.theguardian.com/world/2000/feb/17/3,9
